,time_bucket,time,bytes,host,latency,method,response,url,useragent
45,2025-01-23-23-00,2025-01-23T23:00:43.522Z,4973,188.114.244.211,4321,GET,304,/usr,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
46,2025-01-23-23-00,2025-01-23T23:00:42.915Z,4956,205.45.254.129,3848,POST,304,/usr,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"
47,2025-01-23-23-00,2025-01-23T23:00:42.308Z,4943,107.4.56.160,220,DELETE,303,/usr/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329"
48,2025-01-23-23-00,2025-01-23T23:00:41.701Z,4955,174.43.203.21,1722,GET,304,/usr/register,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0
49,2025-01-23-23-00,2025-01-23T23:00:41.095Z,5073,53.5.254.3,2499,POST,200,/usr/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
50,2025-01-23-23-00,2025-01-23T23:00:40.488Z,5000,55.194.205.174,4066,PUT,404,/usr,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329"
51,2025-01-23-23-00,2025-01-23T23:00:39.882Z,5022,105.189.22.57,1246,POST,403,/usr,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
52,2025-01-23-23-00,2025-01-23T23:00:39.276Z,5043,176.10.221.234,4169,GET,500,/usr/register,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
53,2025-01-23-23-00,2025-01-23T23:00:38.670Z,5046,221.27.210.67,2007,DELETE,200,/usr,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329"
54,2025-01-23-23-00,2025-01-23T23:00:38.061Z,5049,14.202.155.217,636,DELETE,502,/usr/admin/developer,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
55,2025-01-23-23-00,2025-01-23T23:00:37.454Z,4930,20.136.130.73,275,DELETE,303,/usr,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A"
56,2025-01-23-23-00,2025-01-23T23:00:36.846Z,4973,97.44.228.7,1405,GET,403,/usr/admin,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
57,2025-01-23-23-00,2025-01-23T23:00:36.239Z,4958,100.57.123.93,3536,POST,500,/usr/admin/developer,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A"
58,2025-01-23-23-00,2025-01-23T23:00:35.632Z,4995,148.215.113.99,3632,DELETE,404,/usr/admin,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"
59,2025-01-23-23-00,2025-01-23T23:00:35.018Z,4965,40.176.91.119,4824,PUT,303,/usr/login,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36"
60,2025-01-23-23-00,2025-01-23T23:00:34.410Z,4888,113.179.205.231,3082,DELETE,502,/usr/admin/developer,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"
61,2025-01-23-23-00,2025-01-23T23:00:33.803Z,4999,191.227.43.254,81,PUT,304,/usr/admin,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121"
62,2025-01-23-23-00,2025-01-23T23:00:33.195Z,5030,52.226.116.31,2945,DELETE,403,/usr,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0
63,2025-01-23-23-00,2025-01-23T23:00:32.588Z,5080,205.39.18.165,1921,GET,304,/usr,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
64,2025-01-23-23-00,2025-01-23T23:00:31.981Z,5072,210.130.6.95,1345,PUT,502,/usr,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749"
65,2025-01-23-23-00,2025-01-23T23:00:31.374Z,4998,82.194.208.137,4896,PUT,502,/usr/register,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
66,2025-01-23-23-00,2025-01-23T23:00:30.769Z,5060,192.36.108.225,3211,POST,304,/usr/admin,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0
67,2025-01-23-23-00,2025-01-23T23:00:30.163Z,4985,193.51.160.55,137,GET,404,/usr/register,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
68,2025-01-23-23-00,2025-01-23T23:00:29.556Z,5053,167.187.115.66,883,PUT,403,/usr/login,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121"
69,2025-01-23-23-00,2025-01-23T23:00:28.949Z,4922,99.103.204.8,1026,POST,500,/usr/admin,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
70,2025-01-23-23-00,2025-01-23T23:00:28.342Z,4965,15.70.248.222,2838,DELETE,403,/usr/login,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
71,2025-01-23-23-00,2025-01-23T23:00:27.724Z,5071,209.94.46.250,1047,DELETE,200,/usr,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
72,2025-01-23-23-00,2025-01-23T23:00:27.117Z,5059,50.14.17.182,2708,GET,502,/usr,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121"
73,2025-01-23-23-00,2025-01-23T23:00:26.511Z,4996,181.122.46.254,1295,GET,403,/usr/register,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
74,2025-01-23-23-00,2025-01-23T23:00:25.904Z,4993,89.34.212.45,930,POST,502,/usr/admin/developer,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
75,2025-01-23-23-00,2025-01-23T23:00:25.298Z,5067,122.0.43.62,1646,DELETE,502,/usr/admin,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749"
76,2025-01-23-23-00,2025-01-23T23:00:24.690Z,5003,101.34.226.251,4826,PUT,200,/usr/register,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329"
77,2025-01-23-23-00,2025-01-23T23:00:24.083Z,5105,136.252.49.104,1264,PUT,200,/usr,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749"
78,2025-01-23-23-00,2025-01-23T23:00:23.477Z,5018,172.45.210.196,1570,DELETE,404,/usr,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121"
79,2025-01-23-23-00,2025-01-23T23:00:22.871Z,5033,191.113.244.189,4633,PUT,502,/usr/admin/developer,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
80,2025-01-23-23-00,2025-01-23T23:00:22.265Z,5005,16.43.90.235,911,POST,403,/usr/admin/developer,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"
81,2025-01-23-23-00,2025-01-23T23:00:21.656Z,5007,49.153.172.184,838,GET,404,/usr/admin,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36"
82,2025-01-23-23-00,2025-01-23T23:00:21.050Z,5027,211.44.220.78,3954,GET,502,/usr/admin,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
83,2025-01-23-23-00,2025-01-23T23:00:20.444Z,4970,155.138.244.216,1469,GET,403,/usr/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"
84,2025-01-23-23-00,2025-01-23T23:00:19.837Z,4980,92.196.218.31,1807,DELETE,304,/usr/admin/developer,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"
85,2025-01-23-23-00,2025-01-23T23:00:19.231Z,4915,25.61.91.70,927,PUT,303,/usr/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0"
86,2025-01-23-23-00,2025-01-23T23:00:18.624Z,4963,215.171.128.173,1592,DELETE,502,/usr,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A"
87,2025-01-23-23-00,2025-01-23T23:00:18.017Z,4934,216.148.55.173,4140,DELETE,404,/usr/admin/developer,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329"
88,2025-01-23-23-00,2025-01-23T23:00:17.411Z,4952,112.255.195.214,136,POST,403,/usr/admin/developer,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121"
89,2025-01-23-23-00,2025-01-23T23:00:16.804Z,4963,34.54.115.244,711,POST,502,/usr/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
90,2025-01-23-23-00,2025-01-23T23:00:16.197Z,5004,56.39.164.175,1638,PUT,404,/usr/register,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"
91,2025-01-23-23-00,2025-01-23T23:00:15.591Z,4904,143.243.93.57,1569,DELETE,500,/usr/admin/developer,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36"
92,2025-01-23-23-00,2025-01-23T23:00:14.984Z,5038,2.44.215.187,1134,DELETE,303,/usr/admin,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749"
93,2025-01-23-23-00,2025-01-23T23:00:14.377Z,4951,59.246.190.147,829,PUT,502,/usr/admin/developer,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
94,2025-01-23-23-00,2025-01-23T23:00:13.770Z,5014,171.160.53.1,258,DELETE,500,/usr/login,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
95,2025-01-23-23-00,2025-01-23T23:00:13.163Z,5012,139.231.3.228,3553,POST,500,/usr/admin/developer,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1"
96,2025-01-23-23-00,2025-01-23T23:00:12.556Z,5017,46.117.250.89,2945,DELETE,500,/usr/login,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A"
97,2025-01-23-23-00,2025-01-23T23:00:11.948Z,4991,143.65.113.125,3498,PUT,200,/usr,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329"
98,2025-01-23-23-00,2025-01-23T23:00:11.342Z,5084,14.174.12.120,79,PUT,304,/usr,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
99,2025-01-23-23-00,2025-01-23T23:00:10.735Z,4947,30.44.162.70,863,PUT,500,/usr/login,"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121"
100,2025-01-23-23-00,2025-01-23T23:00:10.128Z,5024,58.90.199.237,3344,GET,404,/usr/admin,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0
101,2025-01-23-23-00,2025-01-23T23:00:09.522Z,4892,30.240.87.134,3023,DELETE,304,/usr/login,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0
102,2025-01-23-23-00,2025-01-23T23:00:08.914Z,5064,168.109.103.47,972,POST,200,/usr/register,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329"
